Polski	utf-8
STATMENU_TOTALS_SUBSCRIBERS	Subskrybenci
STATMENU_TOTALS_PROSPECTS	Subskrybenci (prospects)
PROSPMENU_ADD_PROSP	Dodaj nowego subskrybenta
PROSPMENU_IMPORT	Importuj listę
PROSPMENU_EXPORT	Eksportuj listę
PROSPMENU_COPY	Kopiuj z konta
PROSPMENU_BULK_REMOVE	Hurtowe usuwanie
ERROR_NOT_CHANGE_URL	Proszę nie zmieniać URL
ERROR	Błąd
MENU_GO	Przejdź
ERROR_YOUR_NAME_REQUIRED	Należy podać imię
ERROR_EMAIL_INCORRECT	Adres email jest nieprawidłowy
ERROR_EMAIL_REQUIRED	Email jest wymagany
ERROR_REQUIRED	Wymagane
ERROR_DUBL	Duplikat
ERROR_CANT_LOCK_FILE	nie można zablokować pliku do zapisu
ERROR_REQUIRED_SMALL	wymagane
MESS_SETTINGS_UPDATED	Ustawienia zaktualizowane
ERROR_FILENAME_INCORRECT	Niepoprawna nazwa pliku
ERROR_INCORRECT	Niepoprawne
ERROR_NOT_EQUAL	Nie równe
ERROR_NOT_SELECTED	Nie wybrano
ERROR_REQUIRED_SENDMAIL	Wymagany sendmail
ERROR_INCORRECT_SENDMAIL_PATH	Nieprawidłowa ścieżka do sendmail
ERROR_INCORRECT_SENDMAIL_NOT_EXISTS	Sendmail nie istnieje na tym serwerze
ERROR_REQUIRED_SMTP	Nazwa serwera SMTP jest wymagana
ERROR_INCORRECT_FORMAT	Nieprawidłowy format
MESS_LOGOUT_TO_CHECK	Wyloguj, aby sprawdzić
ERROR_CANT_OPEN_DIR	Nie można otworzyć katalogu
ERROR_CANT_UNLINK_FILE	Nie można usunąć pliku
ERROR_CANT_CREATE_DIR	Nie można utworzyć katalogu
ERROR_CANT_OPEN_FILE	Nie można otworzyć pliku
ERROR_CANT_WRITE	do zapisu
ERROR_NEED_TO_CREATE	Należy utworzyć plik
ERROR_NEED_TO_CREATE2	i ustawić jego uprawnienia na CHMOD 666 
ERROR_SHORTER_THEN_3	Musi mieć więcej niż 3 znaki
MONTH_1	styczeń
MONTH_2	luty
MONTH_3	marzec
MONTH_4	kwiecień
MONTH_5	maj
MONTH_6	czerwiec
MONTH_7	lipiec
MONTH_8	sierpień
MONTH_9	wrzesień
MONTH_10	październik
MONTH_11	listopad
MONTH_12	grudzień
MESS_NO_BROADCAST_LOG	Brak bieżących lub poprzednich logów nadawania
BROADCAST_LOG_PROC	Proc #
BROADCAST_LOG_TIME	Czas
BROADCAST_LOG_STATUS	Status
BROADCAST_LOG_MAIN	główne
STAT_NO_MESS	Brak wiadomości na tę datę
STAT_STATISTICS	Statystyki
STAT_TOTAL_PROSP	Łączna liczba subskrybentów
STAT_ACCOUNT	Konto
STAT_SEQUNTIAL	Sekwencyjne
STAT_ACT_PROSP	Aktywni subskrybenci
STAT_INACT_PROSP	Nieaktywni subskrybenci
STAT_TOTAL	Łącznie
STAT_NO_LOGS_FOUND	Brak znalezionych logów
STAT_SHEDULED	Zaplanowane
STAT_MANUAL	Ręczne
STAT_DOI	Double opt-in
STAT_SUBSCRIBE	Zapis
STAT_UNSUBSCRIBE	Wypis
STAT_SUBSCRIBERS	Subskrybenci
STAT_UNSUBSCRIBERS	Osoby, które się wypisały
STAT_SENT_MESS_STAT	Statystyki wysłanych wiadomości
STAT_SUBSCRIBERS_STAT	Statystyki subskrybentów
STAT_PERIOD_FOR	dla
STAT_PERIOD_FROM	od
STAT_PERIOD_TILL	do
TXT_EMAIL_ADDRESS	Email
TXT_NAME	Imię
ERROR_IS_ALREADY_EXISTS	już istnieje
ERROR_NUMBER_REQUIRED	Musi być liczbą
ERROR_TO_BIG	Zbyt duża liczba
ERROR_ALREADY_USED	już używane
ERROR_USER_NOT_FOUND	Błąd: Nie znaleziono użytkownika
TXT_MODE_NEW	Nowy
TXT_MODE_EDIT	Edytuj
USR_SENT_MESS	Wysłane wiadomości
USR_SENT_RECORDS_IN_LOGS	rejestrów w logach
USR_SENT_MESSAGE	Wiadomość
USR_SENT_DATE	Data
USR_BROWSER_PAGE	Strona
USR_BROWSER_PROSPECTS	subskrybenci
USR_BROWSER_PREVIOUSE	Poprzednia
USR_BROWSER_NEXT	Następna
USR_BROWSER_SHOWING	Pokazywanie
USR_BROWSER_FROM	od
USR_BROWSER_NO_RECORDS_FOUND	Brak pasujących rekordów
USR_BROWSER_INACTIVE	Nieaktywny
USR_BROWSER_ACTIVE	Aktywny
USR_BROWSER_PENDING	Oczekujący
USR_BROWSER_CYCLE_DISABLED	Cykl wyłączony
USR_BROWSER_EDIT_USER	Edytuj użytkownika
USR_BROWSER_HEAD_SENT	Wysłane
USR_BROWSER_HEAD_STATUS	Status
USR_BROWSER_HEAD_DATE	Data
USR_BROWSER_HEAD_CYCLE	Cykl
USR_BROWSER_HEAD_HOST	Host
USR_BROWSER_HEAD_USERID	UserID
USR_BROWSER_USERS_REMOVED	subskrybenci usunięci
USR_BROWSER_USERS_CHANGED	subskrybenci zmienieni
USR_BROWSER_USERS_SHOW_FIELDS	Pokaż pola
USR_BROWSER_USERS_SHOW_EXTRA	Pokaż dodatkowe
USR_BROWSER_USERS_SORT_ASC	Rosnąco
USR_BROWSER_USERS_SORT_DESC	Malejąco
USR_BROWSER_FINISHED	Zakończone
USR_BROWSER_ALL	Wszystkie
USR_BROWSER_CANT_IMPORT	Nie można importować - znaleziono 0 subskrybentów na innym koncie
USR_BROWSER_EXPORTED	Eksportowano
USR_BROWSER_CANT_EXPORT	Nie można eksportować - znaleziono 0 subskrybentów
USR_BROWSER_EXPORT_EMAIL_ONLY	TYLKO EMAIL
USR_BROWSER_EXPORT_EMAIL	EMAIL
USR_BROWSER_EXPORT_NAME	IMIĘ
USR_BROWSER_EXPORT_FILE	Plik
USR_BROWSER_EXPORT_PAGE	Strona
USR_BROWSER_BULK_QUERY_INCORRECT	Zbiorcze zapytanie jest niepoprawne
USR_BROWSER_BULK_CURRENT_ACCOUNT	Bieżące konto
USR_BROWSER_BULK_ALL_ACCOUNTS	Wszystkie konta
USR_BROWSER_IMPORT_PROSPADD	subskrybenci dodani
USR_BROWSER_IMPORT_ERRORS_DETECTED	wykryto błędy
ERROR_FIELD_NAME_INCORRECT	Nazwa pola jest nieprawidłowa
HTML_FORM_FIELD_NAME	Nazwa pola
HTML_FORM_ERR_RESERVED	zarezerwowane
HTML_FORM_ERR_USED	już używane
HTML_FORM_ERR_EMPTY	puste
HTML_FORM_SUBSCRIBE_ACCOUNTS	Wybierz konta, na których chcesz automatycznie zapisywać subskrybentów<br>gdy zapiszą się na to konto.
HTML_FORM_SAVE_ACCOUNTS	Zapisz konta
HTML_FORM_UNSUBSCRIBE_ACCOUNTS	Wybierz konta, na których chcesz automatycznie wypisać subskrybentów<br>gdy wypiszą się z tego konta.
HTML_FORM_UNSUBSCRIBE_ALL	Wypisz ze wszystkich innych kont
HTML_FORM_ADD_NEW	Dodaj nowe pole
HTML_FORM_NAME	Nazwa
HTML_FORM_RESERVED	Zarezerwowane
HTML_FORM_EMAIL	Email
HTML_FORM_CONFIRM	Czy na pewno chcesz usunąć to pole? Dane mogą zostać utracone!
HTML_FORM_YOU_HAVE	Masz
HTML_FORM_COSTUM_FIELDS	pole(a) niestandardowe
HTML_FORM_DROP	Upuść
HTML_FORM_UP	GÓRA
HTML_FORM_DOWN	DÓŁ
HTML_FORM_MOVE	Przenieś
HTML_FORM_SUBSCRIBE	Zapisz
ERROR_URL_INCORRECT	URL jest nieprawidłowy
TXT_DEFAULT	Domyślne
ERROR_CANT_UPLOAD_FILE	Nie można wysłać pliku
ERROR_CANT_FIND_EMAIL	Nie można znaleźć adresu email
TXT_LINE	Wiersz
TXT_EMAIL	email
TXT_ISINCORRECT	jest nieprawidłowy
TXT_IS_EXISTS	już istnieje
TXT_IS_BOUNSED	znajduje się na czarnej liście emaili
MESS_ERR_CONFIRM	Ciało wiadomości musi zawierać specjalny tag
ERROR_DATE_INCORRECT	Data jest nieprawidłowa
MESS_CREATE_NEWMESS	Tworzenie nowej wiadomości
MESS_EDIT_MESS	Edytuj wiadomość
MESS_DOWNLOAD_ATTACH	Pobierz załącznik
MESS_ATTACHMENTS	Załączniki
MESS_TYPE_SCHEDULED	Na datę
MESS_BROADCAST_STARTED	Nadajnik uruchomiony w tle
MESS_PREVIEW	Podgląd
LINKS_ALL_MONTH	Cały miesiąc
LINKS_ALL_MESS	Wszystkie wiadomości
LINKS_ALL_LINKS	Wszystkie linki
LINKS_CHANGE	Zmień
LINKS_CHANGE_LINK	Zmień link
MESS_PERS_EXTRA	Dodatkowe tagi scalające
MESS_PERS_LOAD_FROM_FILE	Załaduj treść z pliku
MESS_PERS_LOAD_FROM_TEMPL	Załaduj treść z szablonów
MESS_PERS_REDIR_LINK	link przekierowujący
MESS_PERS_REDIR_LINK_TO	do
MESS_PERS_TRACK	Śledzenie linków
MESS_PERS_NEW	Nowy
TXT_VIEW	Podgląd
LINKS_MESSAGES_LINKS_ACT	Aktywność linku
LINKS_VIEW_PROSP	Pokaż subskrybentów
LINKS_VIEW_CLICKS	Pokaż kliknięcia
ACCOUNT_EXISTS	Konto już istnieje
ACCOUNT_INVALID_NAME	Nieprawidłowa nazwa konta
ACCOUNT_NO_ACCOUNTS	Brak kont
ACCOUNT_YOUR_ACCOUNTS	Konta
ACCOUNT_DISABLED	Nieaktywne
ACCOUNT_DELETE_QUESTION	Czy na pewno chcesz usunąć zaznaczone konta?
ACCOUNT_INVERT_STATUS	Odwróć status
LANG_SELECT_LANG	Wybierz język
LANG_SELECT_LANG_TABHEADER	Wybierz język aplikacji
LANG_LANG	Język
#########################	
#file bounce.cgi	
#########################
BOUNCE_ERROR	BŁĄD PRZETWARZANIA ODBIĆ
BOUNCE_ERROR_HEADER	BŁĄD PRZETWARZANIA ODBIĆ – Nie można załadować modułu Mail::DeliveryStatus::BounceValidator
BOUNCE_ERROR_DESCR1	Nie można załadować modułu Mail::DeliveryStatus::BounceValidator
BOUNCE_ERROR_DESCR2	Sprawdź, czy plik <B>BounceValidator.pm</b> istnieje w katalogu lib/Mail/DeliveryStatus/ lub poproś administratora hostingu o zainstalowanie modułów MIME::Tools.
BOUNCE_ERROR_TXT	Błąd
BOUNCE_ERROR_ACTION	Akcja
BOUNCE_ERROR_ACTION_WAS_NOTFOUND	nie została znaleziona
BOUNCE_ERROR_CANT_OPEN_CONN	Błąd: Nie można otworzyć połączenia z
BOUNCE_CONNECTED	POŁĄCZONO
BOUNCE_CONNECTED_AUTH	Uwierzytelnianie użytkownika
BOUNCE_CONNECTED_AUTH_AND_PASS	i hasłem **********
BOUNCE_CONNECTED_LOGGED	Zalogowano
BOUNCE_CONNECTED_FETCH	Pobieranie wiadomości
BOUNCE_CONNECTED_YOU_HAVE	Masz
BOUNCE_CONNECTED_YOU_HAVE_MESS	wiadomości w swojej skrzynce
BOUNCE_CONNECTED_LOADING	Ładowanie pierwszych
BOUNCE_CONNECTED_LOADING_MESS	wiadomości
BOUNCE_CONNECTED_LOADING_EMPTY	Twoja skrzynka jest pusta
BOUNCE_ERROR_VALIDATOR	Błąd BounceValidator: Nie można sparsować wiadomości
BOUNCE_LOAD_MSG	Ładowanie wiadomości
BOUNCE_LOAD_MSG_IS_BOUNC	Ta wiadomość została odrzucona (bounce)
BOUNCE_LOAD_MSG_EMAIL_IS	Email odbity to
BOUNCE_LOAD_MSG_EMAIL_IS_DIAG	Diagnostyka
BOUNCE_LOAD_MSG_CANT_LOAD	Błąd: Nie można załadować wiadomości
BOUNCE_COUNT_TOTAL	Razem
BOUNCE_COUNT_TOTAL_MSGS	odbitych wiadomości w Twojej skrzynce
BOUNCE_TEST_OK	Test OK
BOUNCE_TEST_ERROR	Błąd: Nie można uwierzytelnić – nieprawidłowe ustawienia POP3
BOUNCE_PAGE_REM_MAIL_ALL_ACC	Usuń email z wszystkich kont
BOUNCE_PAGE_SET_STATUS_INACT	Ustaw status subskrybenta jako nieaktywny
BOUNCE_PAGE_ADD_NEW_POP	Dodawanie nowego konta POP3
BOUNCE_PAGE_EDIT_POP	Edytuj konto POP3
BOUNCE_STATUS_WAITING	Oczekiwanie
BOUNCE_STATUS_REMOVED	Subskrybent usunięty
BOUNCE_STATUS_INACTIV	Subskrybent dezaktywowano
BOUNCE_STATUS_NOTFOUND	Subskrybent nie znaleziony
BOUNCE_STATUS_PROC_MAN	Przetworzono ręcznie
BOUNCE_SORT_HARD	Twarde
BOUNCE_SORT_SOFT	Miękkie
BOUNCE_SORT_DATE	Data
BOUNCE_SORT_MAIL	Email
BOUNCE_SORT_ASC	Rosnąco
BOUNCE_SORT_DESC	Malejąco
BOUNCE_INPUT_REM_PROSP	Usuń subskrybentów
BOUNCE_INPUT_REM_PROSP_SURE	Czy na pewno chcesz usunąć
BOUNCE_INPUT_REM_PROSP_SURE_MAILS	adresy email
BOUNCE_INPUT_REM_PROSP_CANCEL	Anuluj
BOUNCE_INPUT_BACK_BLACKLIST	Wróć do czarnej listy
BOUNCE_EMAILS_WERE_REM	adresy email zostały usunięte z czarnej listy
BOUNCE_EMAILS_WERE_ADD	adresy email zostały dodane do czarnej listy
BOUNCE_ERROR_DELIVER_MSGS	Przepraszamy, nie możemy dodać tego adresu. Spróbuj ponownie z innym adresem email.
BOUNCE_SETTS_UPDATED	Ustawienia zaktualizowane
#########################	
#file xmlimport.cgi	
#########################
XMLI_ERROR_BNC_PROC	BŁĄD PRZETWARZANIA ODBIĆ
XMLI_ERROR_BNC_PROC_TXT	BŁĄD IMPORTU XML – Nie można załadować modułu XML::Parser
XMLI_ERROR_BNC_PROC_TXT_DESCR1	Nie można załadować modułu
XMLI_ERROR_BNC_PROC_TXT_DESCR2	Poproś administratora hostingu o zainstalowanie
XMLI_ERROR_BNC_PROC_TXT_DESCR2_1	modów.
XMLI_ERROR_BNC_PROC_ERROR	Błąd
XMLI_MSG	Nie zmieniaj URL
XMLI_MSG_PROSPS_WERE_ADDED	subskrybenci zostali dodani i zostali
XMLI_MSG_PROSPS_WERE_UPD	zaktualizowani w bazie danych
XMLI_MSG_TOTAL_ELMS	Razem elementów w pliku XML
XMLI_ERR_ELEMENT	Element
XMLI_ERR_ELEMENT_EMAIL	email
XMLI_ERR_ELEMENT_EMAIL_INCORR	jest nieprawidłowy.
XMLI_ERR_ELEMENT_EMAIL_ALR_EX	już istnieje i został zaktualizowany.
XMLI_ERR_ELEMENT_EMAIL_WAS_NOT_ADDED_SQL	nie został dodany do bazy danych (błąd SQL).
#########################	
#file xmlexport.cgi	
#########################
XMLE_PAGE_FUMP_DIR	W katalogu FUMP
XMLE_PAGE_INTO_BRO	Do przeglądarki
XMLE_PAGE_SAVE_AS_FILE	Zapisz jako plik
XMLE_PAGE_ENC_DEF	<domyślne>
XMLE_FIELDS_REG_DATE	Data rejestracji
XMLE_FIELDS_EMAIL	Email
XMLE_FIELDS_NAME	Imię
____STARTTEXTS____
[T_SENDING_TIPS]	
	<h2>Wskazówki dotyczące ustawienia nagłówków odbić. </h2>
                    <p>Jeśli zamierzasz przetwarzać wiadomości zwrotne (bounces), możesz zdefiniować tutaj opcje wysyłki dla odbić.</p>
                    <p>&nbsp;</p>
                    <p><font color="#FF0000"><strong>Uwaga!</strong></font> 
                      Wiadomości zwrotne mogą być zwracane z ustawień domyślnych.
                      Musisz zdefiniować lub sprawdzić opcje dla odbić, jeśli nie możesz znaleźć wiadomości zwrotnych 
                      w swoich skrzynkach pocztowych. Alternatywnie określ oddzielną skrzynkę, która 
                      powinna być inna niż adresy "From" lub "Reply-To".</p>
                    <p>Zwykle wszystkie wiadomości zwrotne powinny być zwracane na adres z nagłówka Return-path w Twoich wiadomościach. Istnieje kilka sposobów, aby to osiągnąć.</p>
                    <p><strong><u>SMTP</u></strong></p>
                    <p>Jeśli używasz SMTP do wysyłania wiadomości, możesz określić inny adres email niż w nagłówkach 'From' lub 'Reply-To'. 
                      Musisz zaznaczyć opcję 'Email address to receive bounced emails' i podać adres email. <br>
                      <br>
                      <strong><u>Konfiguracja przy użyciu polecenia Sendmail</u></strong></p>
                    <p>Wynik może nie być optymalny, ale są dobre alternatywy: </p>
                    <p><br>
                      <strong><em>Technika 1:</em></strong> Flaga -f</p>
                    <p>Musisz zaznaczyć 'Use sendmail -f flag' i podać adres email</p>
                    <p>To powinno ustawić nagłówek Return-Path.</p>
                    <p>&nbsp;</p>
                    <p><em><strong>Technika 2: </strong></em>Nagłówek Return-Path</p>
                    <p>Jeśli to nie działa, możesz spróbować ustawić nagłówek Return-Path jawnie. To nie jest najlepszy sposób, ale Qmail pozwala na to.</p>
                    <p>&nbsp;</p>
                    <p><strong>Technika 3: </strong>Nagłówek "Errors-To"</p>
                    <p>Nagłówek "Errors-To" został stworzony w tym celu, ale jest przestarzały. Używaj go ostrożnie. Aby miał efekty, trzeba skonfigurować Sendmail, aby uwzględniał nagłówek "Errors-To". Jeśli poprzednie techniki zawiodą, możesz spróbować tego nagłówka.</p>
                    <p>&nbsp;</p>
                    <p>Aby przetestować którąkolwiek z tych konfiguracji, wyślij testową wiadomość do siebie i obejrzyj źródło wiadomości w czytniku pocztowym. W nagłówkach powinieneś zobaczyć nagłówek Return-Path, np.:</p>
                    <blockquote>
                      <p><code>Return-Path: &lt;johndoe@domain.net&gt;<br>
                        Delivered-To: support@domain.net<br>
                        Content-Disposition: inline<br>
                        Content-Transfer-Encoding: binary<br>
                        Content-Type: text/plain<br>
                        MIME-Version: 1.0<br>
                        X-Mailer: MIME::Lite 2.117 (F2.71)<br>
                        Date: Tue, 14 Jun 2008 15:26:41 UT<br>
                        From: FUMP Registration &lt;johndoe@domain.net&gt;<br>
                        To: John Doe &lt;johndoe@domain.net&gt;<br>
                        Subject: User someone@yahoo.com registered at the Newsletter 
                        account </code></p>
                    </blockquote>
[/T_SENDING_TIPS]
[T_BOUNCE_HELP]
<p>Edytuj swoje konta POP3 do zbierania wiadomości zwrotnych (bounces) i zdefiniuj reguły/akcje dla subskrybentów (usuń lub dezaktywuj subskrybentów):<br>
                    <br>
                    <strong>Serwer POP3</strong> - Twój serwer POP3 do zbierania wiadomości</p>
                  <p><strong>Port POP3</strong> - domyślny port POP3 to 110</p>
                  <p><strong>Użytkownik POP3</strong> - nazwa użytkownika do dostępu do skrzynki</p>
                  <p><strong>Hasło POP3</strong> - hasło do dostępu do skrzynki<br>
                  </p>
                  <p><strong>Usuń subskrybentów po</strong>:<br>
                    - <strong>Twarde odbicia:</strong> Liczba twardych odbić po której subskrybenci zostaną usunięci lub dezaktywowani (twarde odbicia to błędy trwałe, np. brak hosta lub użytkownika, odrzucenie przez antyspam — oznacza to, że wiadomość na pewno nie dotrze do odbiorcy). Domyślnie subskrybenci zostaną usunięci/dezaktywowani po 1 twardym odbiciu, ale możesz tę opcję zmienić.</p>
                  <p>- <strong>Miękkie odbicia:</strong> Liczba miękkich odbić po której subskrybenci zostaną usunięci lub dezaktywowani (miękkie odbicia to błędy tymczasowe, np. pełna skrzynka). Domyślnie subskrybenci zostaną usunięci/dezaktywowani po 3 miękkich odbiciach, ale możesz to zmienić.</p>
                  <p><strong><br>
                    Akcje: </strong></p>
                  <p>- <strong>Usuń subskrybenta z bazy:</strong> subskrybent zostanie usunięty z bazy danych.</p>
                  <p>- <strong>Ustaw status jako nieaktywny:</strong> subskrybent zostanie dezaktywowowany.</p>
                  <p>- <strong>Dodaj odbite emaile do czarnej listy:</strong> możesz ustawić tę opcję, aby automatycznie dodawać subskrybentów do czarnej listy, gdy zostaną usunięci lub dezaktywowani.</p>
[/T_BOUNCE_HELP]
[T_ACCOUNT_OPTIONS_SUBSCRIBE]

			  Możesz również dodawać subskrybentów, 
                          pozwalając im kliknąć link w e-mailu. <br>
                          Wystarczy utworzyć nowy adres e-mail dla Twojej domeny lub 
                          dowolne konto POP3. <br>
                          Następnie wprowadź ustawienia poniżej. <br>
                          Jest to szczególnie przydatne, jeśli chcesz uniknąć możliwości 
                          wpisania fałszywego imienia i adresu e-mail, ponieważ zbierze 
                          informacje bezpośrednio z klienta pocztowego nadawcy. 
                          <br>
                          Zobacz plik README.TXT po więcej informacji.
[/T_ACCOUNT_OPTIONS_SUBSCRIBE]
[T_ACCOUNT_OPTIONS_SUBSCRIBE2]
			<u>Pozwól zapisywać wysyłając pusty email:</u> Zaznacz to pole, jeśli chcesz umożliwić 
                          ludziom zapisanie się na Twoją listę poprzez kliknięcie linku w e-mailu lub 
                          wysłanie pustej wiadomości email.<br> <br> <u>Serwer POP3:</u> 
                          Serwer przychodzący dla Twojego konta POP3. Dostawca konta POP3 powinien podać tę informację.<br> <br> 
                          <u>Nazwa użytkownika POP3:</u> Twoja nazwa użytkownika do konta POP3.<br> <br> <u>Hasło POP3:</u> Twoje hasło do konta POP3.<br> <br> <u>Port serwera POP3:</u> Zwykle 110. Jeśli pojawia się błąd, zapytaj administratora serwera.
[/T_ACCOUNT_OPTIONS_SUBSCRIBE2]
[T_ACCOUNT_OPTIONS_BLACKLIST]
		    <p><u>Lista banów:</u> Możesz dodać adresy email lub hosty, które chcesz zablokować, np. <b>&quot;spam@yahoo.com&quot;</b> lub <b>&quot;hotmail.com&quot;</b>.</p>
                    <p>&nbsp;</p>
                    <p><u>Niestandardowy komunikat błędu:</u> To jest komunikat, który zobaczą użytkownicy podczas rejestracji, jeśli ich adres email jest zablokowany.<br>
                    </p>
[/T_ACCOUNT_OPTIONS_BLACKLIST]
[T_MESSEDIT_PERSONALIZE]
			<h2>Personalizacja wiadomości</h2><br>
			<P>Aby dodać link wypisu, umieść tag <strong>[UNSUBSCRIBE_LINK]</strong> 
                    w dowolnym miejscu wiadomości (w HTML możesz dodać link: 
					&lt;a href=&quot;<strong>[UNSUBSCRIBE_LINK]</strong>&quot;&gt;Kliknij tutaj, aby wypisać się&lt;/a&gt;).
                  <P>&nbsp;
                  <p>Masz do dyspozycji cztery predefiniowane tagi scalające, które możesz użyć w treści lub temacie wiadomości, aby personalizować wysyłki.</p>
                  <ul>
                    <li><b>[FIRSTNAME]</b> wyświetli imię subskrybenta (np. 'Cześć <b>[FIRSTNAME]</b>' => 'Cześć Jan!').</li>
                    <li><b>[FULLNAME]</b> wyświetli imię i nazwisko subskrybenta (np. 'Pan <b>[FULLNAME]</b>,' => 'Pan Jan Kowalski').</li>
                    <li><b>[EMAIL]</b> wyświetli adres email subskrybenta (np. 'Twój adres email to <b>[EMAIL]</b>' => 'Twój adres email to john@aol.com'). <br>
                      <b>[DATE]</b> wydrukuje bieżącą datę. </li>
                    <li><b>[DATE+32d] [DATE-32d] [DATE+1m] [DATE-1m] [DATE+1y] [DATE-1y] </b> wydrukuje skorygowaną datę.</li>
                    <li><b>[IP]</b> wyświetli adres IP subskrybenta, jeśli zapisał się przez formularz HTML; w przeciwnym razie wartość będzie pusta.</li>
                    <!--Please do not remove or translate this tag-->
		    {additional}
		    <!--Please do not remove or translate this tag-->
		    </ul>
[/T_MESSEDIT_PERSONALIZE]
[T_BULK_REM_HELP]
		<p>Możesz usunąć subskrybentów z tego konta, wklejając ich adresy email <br>
		do poniższego pola tekstowego i klikając "usuń subskrybentów". </p>
		<p>&nbsp;</p>
		<p>Wprowadź jeden email w każdym wierszu. Możesz też użyć maski. Na przykład jeśli <br>
		wpiszesz "hotmail" w polu, zostaną usunięte wszystkie adresy zawierające 
		<br>
		"hotmail" w dowolnej części adresu. <br>
		<br>
		np. hotmail@aol.com, mike@hotmail.com, myhotmail@email.com — wszystkie 
		zostaną usunięte z listy</p>
[/T_BULK_REM_HELP]
[T_IMPORT_HELP]
	<p>Dodaj nowe kontakty do swojej bieżącej listy subskrybentów i przekaż je przez cały zestaw wiadomości. Możesz wkleić je do pola "Wstaw tekst" poniżej lub przesłać plik tekstowy w jednym z formatów poniżej: <br>
	<br>
	<i>John Smith|his@email.com</i><br>
	lub:<br>
	<i>his@email.com</i><br>
	lub:<br>
	<i>&lt;his@email.com&gt; </i><br>
	lub:<br>
	<i>John Smith &lt;his@email.com&gt; </i><br>
	lub:<br>
	<i>John Smith his@email.com</i><br>
	lub:<br>
	<i>John Smith his@email.com</i><br>
	<br>
	Wprowadź jeden kontakt w każdym wierszu. Gdy będziesz gotowy, kliknij przycisk „Importuj subskrybentów”.</p>
[/T_IMPORT_HELP]
[T_DOI_MESS]
Aby potwierdzić subskrypcję, kliknij w poniższy link:

[CONFIRM_URL]

Jeśli nie wysłałeś tego żądania, nie musisz podejmować żadnych dalszych kroków.
[/T_DOI_MESS]
[T_ATTANTIONFILES1]
<hr size="4" noshade>
<H1 class="mess">Ostrzeżenie!</H1>
Te pliki nadal znajdują się na serwerze:
<UL>
[/T_ATTANTIONFILES1]
[T_ATTANTIONFILES2]
</UL><h2>Proszę je usunąć z serwera po instalacji</H2><hr size="4" noshade>
[/T_ATTANTIONFILES2]
